NOX,0
ROS,1
CBP,2
TGFB,3
TGFB1R,4
smad3,5
smad7,6
latentTGFB,7
BAMBI,8
PDGF,9
PDGFR,10
mechanical,11
B1int,12
Rho,13
ROCK,14
IL6,15
gp130,16
STAT,17
IL1,18
IL1RI,19
TNFa,20
TNFaR,21
NFKB,22
PI3K,23
Akt,24
p38,25
TRAF,26
ASK1,27
MKK3,28
PP1,29
JNK,30
abl,31
Rac1,32
MEKK1,33
MKK4,34
ERK,35
Ras,36
Raf,37
MEK1,38
FAK,39
Factin,40
FA,41
migration,42
cmyc,43
CTGF,44
proliferation,45
SRF,46
aSMA,47
AP1,48
TIMP1,49
TIMP2,50
PAI1,51
proMMP14,52
proMMP1,53
proMMP2,54
proMMP9,55
MMP1,56
MMP2,57
MMP9,58
MMP14,59
fibronectin,60
periostin,61
CImRNA,62
CIIImRNA,63
CI,64
CIII,65
FGF,66
FGFR1,67
Shp2,68
FRS2,69
Src,70
cortactin,71
Grb2Sos,72
NWASP,73
Arp23,74
